quote,author,prompt
“Facts didn't matter to people if they were smiling.”,Nick Oliveri,Provide a motivational quote about the power of positivity and happiness:
“Love and kindness serve as a bridge between you and all living things.”,Shree Shambav,Provide a motivational quote about love and kindness:
"“The mind is everything in this world. It is the source of all pain and suffering. If the mind can be healed, it will cure all illnesses in this world.”",Shree Shambav,Provide a motivational quote about healing the mind:
“I’m not afraid of strong winds because I’m learning to fly.”,Shree Shambav,Provide a motivational quote about strength and resilience:
“Just celebrate and dance. Life is a moment we are living right now.”,Shree Shambav,Provide a motivational quote about living in the present moment:
“Faith isn’t blind belief; it’s unwavering trust.”,Shree Shambav,Provide a motivational quote about faith:
"“The human brain is capable of doing more than just thinking about earning bread and butter. Live your life to the fullest so that you won't regret it in future. Travel, explore, Learn, create, and help!”",Shankar Jha,Provide a motivational quote about living life to the fullest:
“The most contented man is one who has control over his desires.”,Shree Shambav,Provide a motivational quote about self-discipline:
"“No matter what you're going through, there is always another brick sitting right there in front of you, waiting to be laid. The only question is, are you going to get up and lay it?”",Will Smith,Provide a motivational quote about perseverance:
"“I am not this skin, this flesh, this bone, this hair, or this other physical component; rather, I am the soul that resides there.”",Shree Shambav,Provide a motivational quote about the power of self-identity:
"“Success isn't a straight line but failure is, you fail straight but you succeed by bending, mending, and molding that line of failure until you reach that position and place you called success.”",Aiyaz Uddin,Provide a motivational quote about achieving success despite facing failure:
“Nobody can take your happiness away from you. Once you learn how to create it.”,Shree Shambav,Provide a motivational quote about creating happiness:
"“Be as delicate as a flower at all times. A flower can still bloom when surrounded by thorns, but you can’t smile if you’re in pain.”",Shree Shambav,Provide a motivational quote about resilience:
“They returned our actions and words to us like echoes in a mountain.”,Shree Shambav,Provide a motivational quote about perseverance:
"“If you want to sing, you sing without considering who is listening or what they might think.”",Shree Shambav,Provide a motivational quote about following your passion:
“The realisation has to come from within you. That’s how it becomes self-realisation. So does motivation.”,Vikrmn: CA Vikram Verma,Provide a motivational quote about self-realization:
"“God's language is empathy, compassion, kindness, and silence.”",Shree Shambav,Provide a motivational quote about the power of empathy and kindness:
“Why do you continue to live in confinement when the door is so wide open?”,Shree Shambav,Provide a motivational quote about embracing change:
“Do not grieve! Everything you lose eventually comes back to you in some other way.”,Shree Shambav,Provide a motivational quote about resilience and hope:
“Open your eyes. See the sunrise. It is there to remind you that you still have another chance to rewrite the story of your life.”,Gift Gugu Mona,Provide a motivational quote about embracing new beginnings:
“Action is precious than plentiful words.”,Lailah Gifty Akita,Provide a motivational quote about taking action:
“The next 24 hours is a blank canvas. Your canvas. What will you paint on it?”,Paddick Van Zyl,Provide a motivational quote about seizing the day:
